#,Ítem,Nick,Ciudad / Región,Restricciones en el envío
381,Ragami - Solo destroquelado Trasera de la caja un poco hundida con pequeña marca venía así de tienda En Español,erosgn,Almería,Kiala. Si no hubiera Kiala pagando la diferencia se podría mandar con otra compañía de mensajería.
382,Vinhos - Buen estado En la parte interior de la caja ( no se ve) esta un poco rota venia así de tienda Adjunto reglas en Español,erosgn,Almería,Kiala. Si no hubiera Kiala pagando la diferencia se podría mandar con otra compañía de mensajería.
383,"Conquest of the Empire - Caja Gastada, rota en una esquina pegada con celo por dentro de la caja. Envío fotos a los interesados. interior impecable. Eagle Games. Edición en castellano.",marufrant,Barcelona,kiala
384,Un mundo sin Fin - En perfecto estado. Edición en Castellano. Devir.,marufrant,Barcelona,kiala
385,Middle Earth Quest - Juego con señales de uso. El interior está muy bien Devir. Castellano,marufrant,Barcelona,kiala
386,Risk: The lord of the rings - Caja gastada. Interior impecable. Cartas tradumaqueteadas y con fundas. Edición en ingles. Parker.,marufrant,Barcelona,kiala
387,"Deadzone - Nuevo a estrenar. Sin destroquelar. Cartas precintadas. Minis sin montar y escenografía en sus matrices. Reglamento a color en inglés en formato A4 y el Reglamento a color en castellano en formato A5 (Reglas completas), además de la mini promo exclusiva The survivor mercenary (plomo).",winston smith,Madrid Sur,Kiala o por Correos en el caso de Canarias o destinos sin punto Kiala
388,Napoleon's War: The 100 Days - Perfecto estado. Reglas en castellano.,winston smith,Madrid Sur,Kiala o por Correos en el caso de Canarias o destinos sin punto Kiala
389,Rallyman - Caja desgastada en las esquinas por el almacenamiento. Contenido en perfecto estado.,winston smith,Madrid Sur,Kiala o por Correos en el caso de Canarias o destinos sin punto Kiala
390,PACK: PACK LITE El Hobbit: el juego de cartas (Edición Devir. Procede de mathtrade. Perfecto estado.) + Pocket Battles: Celts vs. Romans (Edición Z-Man. Procede de mathtrade. Componentes en bolsitas zip. Caja con esquinas con leve desgaste. Contenido en perfecto estado.) + Revolver (En perfecto estado. Enfundado.) + The Battle for Hill 218 (Edición Your move games 2009. Procede de mathtrade. ) + Time's Up! Edición Amarilla (Sin caja. Contenido en la bolsa del juego.),winston smith,Madrid Sur,Kiala o por Correos en el caso de Canarias o destinos sin punto Kiala
391,PACK: PACK VAE VICTIS Ultimus Romanorum: La Chute de Rome (Revista con wargame. Francés. Completo.) + Verdun 1916 (Revista con wargame. Francés. Completo.),winston smith,Madrid Sur,Kiala o por Correos en el caso de Canarias o destinos sin punto Kiala
392,"AutomobileVersión alemana de Lookout Games, 3 partidas, en perfecto estado.",Yamakasi30,Santander,
393,Heroes of Normandie - DUST MOD Precintado.,Yamakasi30,Santander,
394,Clinic + Medical Dossier 1 & 2 Sin usar,Yamakasi30,Santander,
395,Pack Familiar: Password + Montañas de la locura + Time's up edición azul,Yamakasi30,Santander,
396,Agrícola edición coleccionista: Agrícola + Farmers of the moor + Mazo NL + Mazo WM + Mazo Bielefeld + Mazo Z + Mazo Pi + Gamer's Deck + Mazo CZ + Mazo Ö + Mazo Belga + Legen*dairy Forest Deck + Figuras de fimo,Yamakasi30,Santander,
397,Boss Monster: The Dungeon Building Card Game + Expansión (Enfundado),JGGarrido,Córdoba,kiala
398,Campaign Commander Volume I: Roads to Stalingrad. En perfecto estado,JGGarrido,Córdoba,kiala
399,Imperial Settlers. Edición en Inglés. Como nuevo. Enfundado.,JGGarrido,Córdoba,kiala
400,Liberté. Edición Valley Games multilenguaje (incluye Español). Nuevo.,JGGarrido,Córdoba,kiala
401,PACK MW: Mage Wars + Mage Wars: Druid vs. Necromancer + Mage Wars: Forcemaster vs. Warlord. En Perfecto estado,JGGarrido,Córdoba,kiala
402,Venetia. Edición en español. Como nuevo.,JGGarrido,Córdoba,kiala
403,PACK: Spanish Edition Fungi (Jugado dos veces. Como nuevo.) + Intrigas de palacio (Sin estrenar. ) + Mixmo (Jugado tres veces. Como nuevo.),edubvidal,Guadarrama,kiala
404,"PACK: Tres Coyote (Jugado una vez. Como nuevo.) + Super Comics (Sin estrenar, nuevo.) + The Resistance: Avalon (Cartas de personaje en fundas. Sin estrenar, nuevo.)",edubvidal,Guadarrama,kiala
405,"A Victory Denied Impecable, reglas inglés pero con los de otro juego de la serie en español",Nemrod,Badajoz,kiala o correos
406,"Advanced Squad Leader: Starter Kit #1 Impecable, destroquelado, reglas español.",Nemrod,Badajoz,kiala o correos
407,"Chicken Cha Cha Cha Impecable, gran calidad de los componentes.",Nemrod,Badajoz,kiala o correos
408,"Conflict of Heroes: Awakening the Bear! – Russia 1941-42 Destroquelado, reglas español. Perfecto estado.",Nemrod,Badajoz,kiala o correos
409,"Duel in the Dark Sin destroquelar, reglas español.",Nemrod,Badajoz,kiala o correos
410,"Dungeoneer: Tomb of the Lich Lord Cartas enfundadas. español, impecable.",Nemrod,Badajoz,kiala o correos
411,"Lock 'n Load: Band of Heroes Destroquelado, impecable, reglas español y tablas plastificadas.",Nemrod,Badajoz,kiala o correos
412,"Lord of the Rings Versión para niños, impecable, reglas español.",Nemrod,Badajoz,kiala o correos
413,"Pegasus Bridge: The Beginning of D-Day – June 6, 1944 Reglas español y tablas palstificadas.",Nemrod,Badajoz,kiala o correos
414,"The Longest Day caja deteriorada, interior impecable, reglas en español.",Nemrod,Badajoz,"kiala o correos - ver con detalle, pesa la misma vida"
415,"Exploradores destroqueladas, cartas enfundadas, impecable.",Nemrod,Badajoz,kiala o correos
416,"PACK Cajon Desastre: Amyitis (2007)  : de otra mathtrade + Comuni (2008) : de otra mathtrade + Blooming Gardens (2002) : un par de partidas, en inglés + Caylus Magna Carta : unas cuantas  partidas, en inglés con reglas en castellano + Samarkand , edición multilenguaje, apenas usado",itus,Madrid,kiala o correos
417,"PACK: Catan Junior (En perfecto estado. Castellano, Euskera, Portugues, Catala y Galego) + Ragami (En perfecto estado. Castellano)",Eorlin,Algeciras,
418,Sparta - Perfecto. Una sola partida,kikaytete,Cuenca,kiala
419,PACK: Pack1 Catan: El juego de Cartas (Buen estado. Casi sin uso) + Samurai: The Card Game (Buen estado. Adquirido de segunda mano.) + The Pillars of the Earth: Builders Duel (Buen estado. Siempre enfundado) + ¡Aventureros al Tren! El Juego de Cartas (Perfecto estado. Sin insert.),kikaytete,Cuenca,kiala
420,PACK: Pack2 Ghosts! (Perfecto estado) + Ramparts (En perfecto estado),kikaytete,Cuenca,kiala
421,Juego de Tronos: El Juego de Tablero (segunda edición) Precintado,efrit,Zaragoza / Huesca,kiala
422,"Los Colonos de Catán: El juego de dados Abierto, pero nunca jugado. Tiene el block completo.",efrit,Zaragoza / Huesca,kiala
423,"The Lord of the Rings Dice Building Game Abierto para ver el contenido y los dados, pero nunca jugado.",efrit,Zaragoza / Huesca,kiala
424,Zombies!!! Perfecto estado y enfundado. Un par de partidas y a medio destroquelar.,efrit,Zaragoza / Huesca,kiala
425,Age of Mythology: The Boardgame - En perfecto estado. Edición en inglés.,Zoroastro,Madrid,
426,Agora Barcelona - En buen estado la caja tiene desconchones en las esquinas,Zoroastro,Madrid,
427,Football Leader - Como nuevo,Zoroastro,Madrid,
428,Guatemala Café - Sin estrenar. Destroquelado y puesto pegatinas solamente,Zoroastro,Madrid,
429,"PatimPatamPatum - Nuevo, con un par de partidas.",Zoroastro,Madrid,
430,"Pròxima Obertura - Nuevo, con un par de partidas.",Zoroastro,Madrid,
431,"Sechsstädtebund - League of Six + Exp Loyal Retinue: En alemán el juego básico y en inglés la expansión, el juego es totalmente independiente del idioma y lleva las intrucciones en español dentro. La caja del juego está algo abollada. Viene con los carruajes de madera que daban en Essen a los que compraban allí la ampliación.",Zoroastro,Madrid,
432,The Three Commandments - En perfecto estado (muy pocas partidas),Zoroastro,Madrid,
433,Urban Sprawl - Nuevo con un par de partidas,Zoroastro,Madrid,
434,"Flash Point: Fire Rescue - Edicion en inglés con las miniaturas de bomberos.Adjunto reglamento en castellano. Unas 4 partidas jugadas, en muy buen estado",R.L.Ukic,Vitoria,kiala
435,"Forbidden Island - Edicion en castellano, añado material PnP (cartas de isla, personajes y retos). En muy buen estado, unas 3 o 4 partidas",R.L.Ukic,Vitoria,kiala
436,Northwest Passage Adventure - Edicion en castellano. Muy pocas partidas y en muy buen estado. Unicamente alguna carta minimamente rozada en algun borde.,R.L.Ukic,Vitoria,kiala
437,"Pergamon - Edicion en aleman. Adjunto reglas en castellano. 3 partidas, todo en muy buen estado. Una esquina de la caja un poco desgastada.",R.L.Ukic,Vitoria,kiala
438,"Carcassonne: Edición Invierno - Como nuevo, creo que no tiene ni una partida.",Miguel Michán,Algeciras,
439,"El Hobbit: El juego de la película - Como nuevo, ni una partida.",Miguel Michán,Algeciras,
440,"Kanji Battle - Literalmente nuevo, sin desprecintar.",Miguel Michán,Algeciras,
441,PACK: Pack Zombies Zombies!!! + Zombies!!! 3: Compradores Compulsivos (Sin estrenar.) + Zombies!!! 6: A Dos Metros Bajo Tierra (Sin estrenar.),Miguel Michán,Algeciras,
442,"Through the Ages: A Story of Civilization (English second edition, third printing) (2009)",mazmaz,Santander / Torrelavega,kiala
443,Space Cadets: Dice Duel (English first edition) (2013),mazmaz,Santander / Torrelavega,kiala
444,Euphoria: Build a Better Dystopia (Kickstarter Supreme Edition) (2013),mazmaz,Santander / Torrelavega,kiala
445,PACK: Romolo Romolo o Remo? (Multilingual first edition) (2013) +  Romolo o Remo? God Demands Expansion (Multilingual first edition) (2013) +  Romolo o Remo? Hidden Terrain Expansion (Multilingual first edition) (2013),mazmaz,Santander / Torrelavega,kiala
446,Black Gold - La tapa de la caja vino con una arista estropeada que se reparó pegándole un cartón por dentro. Componentes en perfecto estado.,balthashor,Madrid,kiala
447,Cuba - Un par de partidas. Perfecto estado. Se incluyen instrucciones en castellano.,balthashor,Madrid,kiala
448,Euphoria: Build a Better Dystopia - Un par de partidas. Estado impecable. Instrucciones en castellano.,balthashor,Madrid,kiala
449,"Finca - Sólo abierto para ver componentes, sin destroquelar.",balthashor,Madrid,kiala
450,"Labyrinth: The War on Terror, 2001-? - Un par de partidas, perfecto estado. Enfundado y tradumaquetado en castellano.",balthashor,Madrid,kiala
451,"San Juan - Se incluye expansión ""San Juan: The New Buildings & The Events"" incluida en treasure chest. Un par de partidas. Perfecto estado.",balthashor,Madrid,kiala
452,PACK: Quarriors Quarriors! Dice-Building Game Set-up Box (English second edition. Cartas enfundadas y tradumaquetadas en castellano. Perfecto estado.) +Quarriors! Quarmageddon (Cartas enfundadas y tradumaquetadas en castellano. Perfecto estado.),balthashor,Madrid,kiala
453,PACK: Speicherstadt Die Speicherstadt (Edición en alemán) + Kaispeicher (Edición en Inglés. Todo incluido en la caja del básico. Perfecto estado.),balthashor,Madrid,kiala
454,"PACK: The_agents The Agents + The Agents: Black Ops + The Agents: Mission: Critical + The Agents: The 'Secret' Agents + The Agents: The 'Special' Agents + The Agents: The 'Spoof' Agents + The Agents: The Partners (Kickstarter Edition ""Black Box"" with Commander Promo. Cartas de plástico. Perfecto Estado.)",balthashor,Madrid,kiala
,,,,
456,"Forbidden Desert - Edición DEVIR, en castellano. pocas partidas. Está como nuevo.",novatero,Mallorca,kiala
457,PACK: PACK1 Munchkin + Munchkin 2: Unnatural Axe + Munchkin 3: Clerical Errors + Munchkin Dice (Edición EDGE. Todas en castellano. Proviene de otra mathtrade. ) TODAS LAS CARTAS ENFUNDADAS,novatero,Mallorca,kiala
458,"Arena: Roma II - Queen Games, Edición multi-idioma en inglés (se adjunta manual con traducciones). Sólo un par de Partidas",br0k3r,Valdepeñas,kiala
459,Carcassonne - Devir. Edición en Castellano. Como nuevo,br0k3r,Valdepeñas,kiala
460,Lost Cities - Kosmos. Edición en Castellano. Como nuevo,br0k3r,Valdepeñas,kiala
461,San Juan - Devir. Edición en Castellano. Solamente jugado un par de veces. Estado impecable,br0k3r,Valdepeñas,kiala
462,La Villa - Ludonova. Edición en Castellano. Comprado recientemente y solamente jugado un par de veces. Está impecable,br0k3r,Valdepeñas,kiala
463,"PACK: Sushizock im Gockelwok (Zoch Verlag. Edición en Inglés, Francés y Alemán. Se adjunta reglas en Castellano. Como nuevo) + Adios Amigos (Pegasus Spiele. Edición en Inglés/Alemán. Comprado Recientemente, jugado una sola vez)",br0k3r,Valdepeñas,kiala
464,Agricola - Como nuevo. 3 partidas. Todos los componentes embolsados e incluye caja separadora Tayg para las fichas.,miskatonic,,kiala
465,Britania - Como nuevo. 2 partidas. Todos los componentes embolsados e incluye un contador corregido envíado por FFG ya que en el juego en español estaba mal.,miskatonic,,kiala
466,Dynasties - Buen estado.,afrikaner,Gran Canaria,Correos
467,La Villa - Buen estado.,afrikaner,Gran Canaria,Correos
468,Savannah Café - Buen estado.,afrikaner,Gran Canaria,Correos
469,"PACK: Minijuegos Boomtown (Face2Face German first edition, buen estado.) + Breakaway Rider (PS Games English Edition, buen estado.) + Coin Age (English first edition, sin estrenar.) + Drachengold (German First Edition, buen estado.) + Glory to Rome (Cambridge Games Factory I.V english edition, buen estado.) + Los colonos de Catán: El juego de cartas (Spanish edition, buen estado.) + Lunch Money (Atlas Games English edition 1996, buen estado.) + Packeis am Pol (Phalanx German edition 2008, buen estado.)",afrikaner,Gran Canaria,Correos
470,"1960: The Making Of The President: Edicion Z-Man, en inglés, con fundas y cartas traducidas impresas en papel fotográfico, caja con un golpe en una esquina, componentes en muy buen estado.",zappa,,
471,"-Lord Of The Rings Dice Building Game: solo destroquelado, sin estrenar.",zappa,,
472,"-Cleopatra y La Sociedad de Arquitectos: Edicion alemana, precintado.",zappa,,
473,"-Steel Driver: Edicion Pegasus Spiele, precintado.",zappa,,
474,"-Sumeria + Expansion 2 jugadores: una partida, como nuevo.",zappa,,
475,"-Illusio: de Edge, castellano, usado, muy buen estado.",zappa,,
476,"-Pack: Hystericoach (edicion francesa, precintado) + Zombiaki (usado, buen estado, edicion alemana) + Dream Team (abacus, alemana, precintado)",zappa,,
477,BLOOD BOWL TEAM MANAGER - Inglés. Sin destroquelar. Fantasy Flight.,TRON77,Murcia,kiala
478,- PACK: JUEGO DE TRONOS HBO Cartas + CATAN cartas - Español. Cajas rozadas. Edge+Devir.,TRON77,Murcia,kiala
479,- PACK: PATHFINDER Rol + PANTALLA DEL DJ - Español. Sin estrenar. Devir.,TRON77,Murcia,kiala
480,- PACK: KING OF TOKYO + 2 EXP. + Promos - Español. Como nuevo. Homoludicus.,TRON77,Murcia,kiala
481,- PACK: FIN DEL MUNDO HZ Rol + GUIA PINTAR MINIATURAS CITADEL - Español. Sin estrenar+ buen estado. Edge + GWS.,TRON77,Murcia,kiala
482,"- PACK: WHI + CICLO - Español. Caja básico rozada, ciclo Corrupción sin cajitas. Edge.",TRON77,Murcia,kiala
483,"- PACK: FORTUNA + FAIRY TALE + WAZ BARAZ + HASTE BOCK - Independientes idioma. A estrenar, Fairy tale con rozaduras en caja y enfundado.",TRON77,Murcia,kiala
484,"Arena Maximus - Como nuevo, la caja tiene desgaste del tiempo. Independiente del idioma salvo reglamento. Añado reglas en castellano y variante de reglas en ingles.",funkyboy,BCN,Kiala. Con otro metodo de envío se paga la diferencia
485,Bang! - En Castellano (Edge). 3 partidas. En perfecto estado.,funkyboy,BCN,Kiala. Con otro metodo de envío se paga la diferencia
486,"Cartagena 2: Das Piratennest - Independiente del Idioma. Jugado una vez, como nuevo.",funkyboy,BCN,Kiala. Con otro metodo de envío se paga la diferencia
487,"Cranium - Usado varias veces pero en perfecto estado. La plastilina no esta, pero añado una nueva.",funkyboy,BCN,Kiala. Con otro metodo de envío se paga la diferencia
488,D-Day Dice - Ingles. Como nuevo.,funkyboy,BCN,Kiala. Con otro metodo de envío se paga la diferencia
489,"República de Roma - En Castellano (Edge). Dos partidas, jugado siempre con fundas (no se incluyen), como nuevo.",funkyboy,BCN,Kiala. Con otro metodo de envío se paga la diferencia
490,Un Mundo Sin Fin - En Castellano (Devir). Nuevo. Precintado. Edición de Devir.,funkyboy,BCN,Kiala. Con otro metodo de envío se paga la diferencia
491,"¡Sí, Señor Oscuro! - Jugado dos veces. Muy buen Estado.",funkyboy,BCN,Kiala. Con otro metodo de envío se paga la diferencia
492,Antike Duellum - Edición en inglés. Buen estado. Proviene de Mathtrade. Yo un par de partidas.,doom18,Palma de Mallorca,KIALA exclusivamente -salvo a Canarias que envío por Correos
493,"Basilica - Precintado. English, German, Polish.",doom18,Palma de Mallorca,KIALA exclusivamente -salvo a Canarias que envío por Correos
494,"Chicago Express - Sin desprecintar. Dutch, English, French, German, Italian, Spanish",doom18,Palma de Mallorca,KIALA exclusivamente -salvo a Canarias que envío por Correos
495,Firepower - Edición antigua de Avalon Hill. No jugado por mi y no sé si completo. Mando fotods.,doom18,Palma de Mallorca,KIALA exclusivamente -salvo a Canarias que envío por Correos
496,Fremde Federn - Edición Alemana. Buen estado general. Una esquina caja interior (no tapa) un poco abierta.,doom18,Palma de Mallorca,KIALA exclusivamente -salvo a Canarias que envío por Correos
497,Lord of the Rings - Precintado. Edición española de DEVIR.,doom18,Palma de Mallorca,KIALA exclusivamente -salvo a Canarias que envío por Correos
498,Plethora - Una partida. Perfecto estado. Inglés.,doom18,Palma de Mallorca,KIALA exclusivamente -salvo a Canarias que envío por Correos
499,"PACK: Elige3deestos_juegosUSADOS: Gipsy King (Una partida, perfecto estado. Dutch, English, French, German) + Knights (Un par de partidas. Inglés.) + Saint Malo (Dos partidas, perfecto estado. Inglés, francés, alemán.) + Torakkapokeri (Una partida. Cartas perfecto estado. Inglés, alemán.)",doom18,Palma de Mallorca,KIALA exclusivamente -salvo a Canarias que envío por Correos
500,"PACK: Elige5de_estos_juegos_INFANTILES: Affentheater (Reglas originales en alemán, e impresas en castellano. Un par de partidas.) + Au Backe! (English, French, German. Dos partidas.) + Die drei Musketiere (Tradumaquetado y reglas en español en color. Abierto 3 partidas.) + Karottenklau (Dutch, English, French, German, Italian, Spanish. 3 partidas.) + Les Cabanes de M'sieur Robinson (Proviene de Mathtrade. Estado bueno.) + Marinva! (Usado, buen estado.) + Mini-Obstgarten (Usado, incluye reglas en español. Es la edición MINI, en caja metálica, tamaño Hanabi.) + Reiner Knizia's Amazing Flea Circus (Cartas enfundadas. Unas 3 partidas. Inglés.) +The Gnumies (Precintado.) + Tier auf Tier: Das große Abenteuer (Proviene de Mathtrade. Estado bueno.)",doom18,Palma de Mallorca,KIALA exclusivamente -salvo a Canarias que envío por Correos
501,"PACK: Elige_3_de_estos_juegosPRECINTADOS: Agricola: Animales en la Granja (Precintado. Español.) + Architekton (Precintado. Español.) + Diavolo (Precintado. Español.) + Emerald (English, French, German. Precintado.) + Inka (Precintado. Español.) + Sushizock im Gockelwok (Precintado. Alemán.) + Zombies!!! 3: Mall Walkers (Precintado. Inglés) + ¡Aventureros al Tren! El Juego de Cartas (Precintado. Español.)",doom18,Palma de Mallorca,KIALA exclusivamente -salvo a Canarias que envío por Correos
502,"Atlantis Rising - Precintado, nuevo.Versión en Francés.",Tirupiru,,kiala
503,"Dixit - Precintado, nuevo.Versión en Polaco, es independiente del idioma.",Tirupiru,,kiala
504,Escape from Colditz - DEVIR. Esquinas un poco blanqueadas. Cartas enfundadas.,Tirupiru,,kiala
505,"Fabula - Falta un trozo de un lateral de la tapa y lleva una pegatina. Excepto esto, el juego está como nuevo.",Tirupiru,,kiala
506,Lifeboats - Esquinas un poco blanqueadas.,Tirupiru,,kiala
507,"Power Struggle - Power Struggle en perfecto estado. El juego viene en Inglés pero incluye la traducción en español de todos los componentes. Cartones de personajes plastificados en español, cartas de acción con funda y en español y reglas y resumen de las mismas en español. Mando fotos.",Tirupiru,,kiala
508,Arena: Roma II - Nunca jugado,Dave,Madrid,kiala
509,"Pingüinos & Cia Deluxe! - Nuevo, sin desprecintar. Edición DeLuxe con los Pingüinos pintados",Dave,Madrid,kiala
510,"Villa Paletti - Nuevo, sin desprecintar",Dave,Madrid,kiala
511,"Jenga - Usado varias veces, en buen estado",Dave,Madrid,kiala
512,"PACK: Jungle Speed Completo Jungle Speed + Jungle Speed La expansión - Usado 2 veces, en buen estado. Sin caja, todo en su bolsa de tela original",Dave,Madrid,kiala
513,"Arcana - Spanish, perfect shape",ujuyu,Madrid,kiala
514,Caylus - Perfect shape with zip bags,ujuyu,Madrid,kiala
515,Nightfall: Eastern Skies - sealed,ujuyu,Madrid,kiala
516,Nightfall: Martial Law - sealed,ujuyu,Madrid,kiala
517,"PACK: Night Fall + Night Fall: Blood Country - Perfect shape, Blood Country without box, inside the core game",ujuyu,Madrid,kiala
518,"PACK: Revolver + Revolver Expansion 1.1: Ambush on Gunshot Trail + Revolver Expansion 1.2: Hunt the Man Down + Revolver Expansion 1.3: Vengeance on the Frontier - English, cards in perfect shape, slightly dented box",ujuyu,Madrid,kiala
519,"PACK: Rune Age + Rune Age: Oath and Anvil - Spanish, perfect shape",ujuyu,Madrid,kiala
520,La Brújula Dorada - Devir. En perfecto estado. Solo una partida.,Neser,Alicante,kiala preferiblemente
521,La Isla Prohibida - Devir. En perfecto estado.,Neser,Alicante,kiala preferiblemente
522,Serenissima (first edition) - Primera edición en alemán. Caja con esquinas algo desgastadas. Componentes en perfecto estado.,Neser,Alicante,kiala preferiblemente
523,PACK: Pack 1 Illuminati (Edge. En perfecto estado. Solo está destroquelado. Nunca jugado.) + Ritmo y Bola (En perfecto estado. Nunca jugado.),Neser,Alicante,kiala preferiblemente
524,Patrizier - (Amigo) Buen estado. Reglas traducidas al castellano.,Comet,Barcelona,
525,CarTcassonne - (Devir) 1 partida. Como nuevo.,Comet,Barcelona,
526,Titania -(Hans im glück) Como nuevo. Reglas traducidas en inglés y español.,Comet,Barcelona,
527,Mano a Mano - (Morapiaf) Precintado.,Comet,Barcelona,
528,Spectaculum - (Pegasus) 1 partida. Perfecto estado.,Comet,Barcelona,
529,Autokrator - English first edition. Perfecto estado,Dun Darach,Madrid,kiala
530,"Descent Kit de Conversión – Edge en castellano. Solo desprecintado, nuevo.",Dun Darach,Madrid,kiala
531,Dice Town - Multilingual FR/GR/NE/SP edition. Caja con roces de estantería. Un dado sustituido de los 25 que lleva. Irrelevante.,Dun Darach,Madrid,kiala
532,"Dominion: Intriga – Devir en castellano. Cartas perfectas, dos partidas, caja perfecta con portada algo descolorida por el sol.",Dun Darach,Madrid,kiala
533,Ora et Labora – Homoludicus en castellano. Precintado.,Dun Darach,Madrid,kiala
534,Sumeria - English/German. First edition. Reglas en castellano. Perfecto estado.,Dun Darach,Madrid,kiala
535,Super Fantasy: Ugly Snouts Assault - English first edition. Reglas en castellano. Perfecto estado.,Dun Darach,Madrid,kiala
536,Ticket To Ride: Europe – Portuguese edition. Independiente. Precintado.,Dun Darach,Madrid,kiala
537,Theseus: The Dark Orbit - English first edition. Reglas en castellano. Perfecto estado.,Dun Darach,Madrid,kiala
538,Vikings: Warriors of the North - English first edition. Resumen de reglas en castellano. Perfecto estado.,Dun Darach,Madrid,kiala
539,PACK: Ticket to Ride: The Dice Expansion. - International first edition. Sin Destroquelar + Anima El Ocaso de los Dioses. Edición Edge en castellano. La caja tiene algunas marcas de uso.,Dun Darach,Madrid,kiala
540,Dominion Español. Precintado.,Weah44,Getafe / Madrid,SEUR /kiala
541,Dungeon Fighter Ingles. Reglas en Español. Buen estado. Enfundado.,Weah44,Getafe / Madrid,SEUR /kiala
542,"Escape: The Curse of the Temple ingles,buen estado,una partida",forofo27,Alicante,
543,Exodus: Proxima Centauri,forofo27,Alicante,
544,"Metro 2033 ingles ,buen estado,una partida",forofo27,Alicante,
545,"ONUS! nuevo, precintado",forofo27,Alicante,
546,"Polis: Fight for the Hegemony nuevo,precintado,primera edición,castellano",forofo27,Alicante,
547,"Polis: Fight for the Hegemony nuevo,precintado,primera edición ,castellano",forofo27,Alicante,
548,"Polis: Fight for the Hegemony nuevo,precintado,primera edición ,castellano",forofo27,Alicante,
549,"Rise of Empires aleman, buen estado,destroquelado",forofo27,Alicante,
550,"Soccer City: The Beautiful Game nuevo, precintado",forofo27,Alicante,
551,"Supernova ingles,valley games,inserto dañado, estado medio,una partida",forofo27,Alicante,
552,"Android: Netrunner - Datapacks (no el juego base). Todo en perfecto estado. En español, inglés y printerstudio. Ver el excel para ver todo lo que hay y en qué idioma. Todo lo que sea original viene con su caja. EXCEL",NETes,Palma de Mallorca,
553,"Keyflower - Componentes en perfecto estado. Esquinas algo sucias. Reglamento en español impreso. [Caja], [Esquina]",NETes,Palma de Mallorca,
554,"Lewis & Clark - Componentes en perfecto estado. Español. Algo de desgaste en las esquinas. [Caja], [Esquina]",NETes,Palma de Mallorca,
555,"Mount Everest - Componentes en perfecto estado. Reglamento en español impreso.  [Caja], [Esquina]",NETes,Palma de Mallorca,
556,"Myrmes - Componentes en perfecto estado. Losetas corregidas y mini expansión. Reglamento en español impreso. [Caja], [Esquina]",NETes,Palma de Mallorca,
557,"Nauticus - Componentes en perfecto estado. Caja separadora incluida. Ligera abolladura en la trasera de la caja. [Caja], [Esquina], [Abolladura]",NETes,Palma de Mallorca,
558,"The Cave: Aufbruch ins Dunkel - Componentes en perfecto estado. Alemán. Reglamento en español impreso. [Caja], [Esquina]",NETes,Palma de Mallorca,
559,"Tigris y Éufrates - Componentes en perfecto estado. Ligera abolladura en la trasera de la caja. [Caja], [Esquina], [Abolladura]",NETes,Palma de Mallorca,
560,"Tombouctou - Componentes en perfecto estado. Multi-idioma, español incluido. [Caja], [Esquina]",NETes,Palma de Mallorca,
561,PACK: Nestorgames Adaptoid (Perfecto estado [Foto]) + Corporation,NETes,Palma de Mallorca,
562,"- Civilization Sid Meier (Castellano, Una partida)",Mynth,Barakaldo,kiala
563,"- HearthStone (Castellano, PrintStudio) + Tablero en Lona: Una copia de cada carta. Ver descripcion hilo.",Mynth,Barakaldo,kiala
564,"- 12 Realms (Ingles, 1ºEdicion, 1 Partida) + Miniaturas Dark Lords + Miniaturas Buildings + Special Town Cards (10)",Mynth,Barakaldo,kiala
565,"- El Nombre de la Rosa (Aleman, 1 partida)",Mynth,Barakaldo,kiala
566,"- Expansion para El Grande: Konig & Intrigant (Aleman, Como Nuevo)",Mynth,Barakaldo,kiala
567,"- The Prince (Ingles) + Expansion de Wkr (Español, 1 partida)",Mynth,Barakaldo,kiala
568,"- Pack Cartitas:Adios Amigos (Aleman, Usado);Bonhanza (Castellano, Solo abierto);Keltis Cartas (Aleman, Solo abierto);Iliad (ingles, solo abierto)",Mynth,Barakaldo,kiala
569,"- Pack Vagos comparten Piso 1 & 2. (Castellano, Usado, 1ºEdicion Edge)",Mynth,Barakaldo,kiala
570,"- Pack Descartes: Dragon's Gold + Fantasy Bussiness (Aleman, Como nuevos)",Mynth,Barakaldo,kiala
571,"Bang! + Dodge City. (Ed. inglés/italiano. Perfecto estado, enfundado)",frescology,"Sevilla, Jerez, Cádiz y alrededores.","Kiala. Si se quiere otro servicio de mensajería, contactad conmigo antes de solicitar el cambio"
572,Basket Boss (ligero golpe en la caja. Material sin usar),frescology,"Sevilla, Jerez, Cádiz y alrededores.","Kiala. Si se quiere otro servicio de mensajería, contactad conmigo antes de solicitar el cambio"
573,Cavum (Segunda edición. Perfecto estado),frescology,"Sevilla, Jerez, Cádiz y alrededores.","Kiala. Si se quiere otro servicio de mensajería, contactad conmigo antes de solicitar el cambio"
574,Hab & Gut (precintado),frescology,"Sevilla, Jerez, Cádiz y alrededores.","Kiala. Si se quiere otro servicio de mensajería, contactad conmigo antes de solicitar el cambio"
575,High Frontier + Expansion (perfecto estado),frescology,"Sevilla, Jerez, Cádiz y alrededores.","Kiala. Si se quiere otro servicio de mensajería, contactad conmigo antes de solicitar el cambio"
576,Mauerbauer (Ed. alemán. Perfecto estado. Enfundado),frescology,"Sevilla, Jerez, Cádiz y alrededores.","Kiala. Si se quiere otro servicio de mensajería, contactad conmigo antes de solicitar el cambio"
