#,Ítem,Nick,Ciudad / Región,Restricciones en el envío
284,"Airborne In Your Pocket: Free Trial Version - En perfecto estado. Versión en castellano casera ""Print & Play"". Incluye expansión 1 Gerónimo. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala. Extras: cartas enfundadas, caja y fichas de soldado personalizadas. Fotos de mi versión aquí: http://wargamessolo.creatuforo.com/opiniones-reseas-y-comentarios-f5/resea-airborne-in-my-pocket-t116.html Envío por Kiala.",jmkinki,Cádiz,"Kiala, aunque admito cualquier otro tipo de envío más caro (Correos o mensajería) si el interesado paga la diferencia de coste en el envío"
285,Axis & Allies: Europe - Caja arañada. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala.,jmkinki,Cádiz,"Kiala, aunque admito cualquier otro tipo de envío más caro (Correos o mensajería) si el interesado paga la diferencia de coste en el envío"
286,El Grande Decennial Edition - Usado sólo 1-2 veces. Completo y en excelentes condiciones. Con reglas traducidas. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala,jmkinki,Cádiz,"Kiala, aunque admito cualquier otro tipo de envío más caro (Correos o mensajería) si el interesado paga la diferencia de coste en el envío"
287,"Entdecker: Exploring New Horizons - Usado, pero completo y en buenas condiciones. Con reglas traducidas. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala",jmkinki,Cádiz,"Kiala, aunque admito cualquier otro tipo de envío más caro (Correos o mensajería) si el interesado paga la diferencia de coste en el envío"
288,"Flash Point: Fire Rescue - Usado, pero completo y en buenas condiciones. Con reglas traducidas. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala",jmkinki,Cádiz,"Kiala, aunque admito cualquier otro tipo de envío más caro (Correos o mensajería) si el interesado paga la diferencia de coste en el envío"
289,"K2: Broad Peak  – Herausforderung am Falchan Kangri - Usado, pero en buenas condiciones. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala",jmkinki,Cádiz,"Kiala, aunque admito cualquier otro tipo de envío más caro (Correos o mensajería) si el interesado paga la diferencia de coste en el envío"
290,Nightfighter - Desprecintado sólo para ver el contenido. Sin destroquelar. Con reglas traducidas impresas. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala.,jmkinki,Cádiz,"Kiala, aunque admito cualquier otro tipo de envío más caro (Correos o mensajería) si el interesado paga la diferencia de coste en el envío"
291,"No Safe Port: WW2 Naval Warfare - Wargame de tablero. Edición digital en CD/DVD con su caja original, para imprimir los componentes. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala.",jmkinki,Cádiz,"Kiala, aunque admito cualquier otro tipo de envío más caro (Correos o mensajería) si el interesado paga la diferencia de coste en el envío"
292,"Pandemic - Usado, pero en muy buenas condiciones. Con reglas traducidas. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala",jmkinki,Cádiz,"Kiala, aunque admito cualquier otro tipo de envío más caro (Correos o mensajería) si el interesado paga la diferencia de coste en el envío"
293,"Tyrant: Battles of Carthage versus Syracuse - En bolsa zip, sin destroquelar. Envío por Kiala u otros métodos pagando diferencia de coste con Kiala.",jmkinki,Cádiz,"Kiala, aunque admito cualquier otro tipo de envío más caro (Correos o mensajería) si el interesado paga la diferencia de coste en el envío"
